Species,Deploy Date,Capture Depth (fm),Depth Interval,Mortality (0=Dead),Days Held,10-Day Mortality (0 = Dead),Study type,Guild,,,,,,,
black rockfish,06/01/2009,9.0,0-10,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,8.0,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,8.0,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,8.0,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,12.0,10-20,1,2.09,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,13.0,10-20,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,12.5,10-20,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
yelloweye rockfish,06/01/2009,18.0,10-20,1,2.09,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
black rockfish,06/01/2009,16.0,10-20,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,16.0,10-20,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,16.0,10-20,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/01/2009,20.2,20-30,1,2.10,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,06/01/2009,20.3,20-30,1,2.10,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,06/01/2009,20.3,20-30,1,2.10,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue deachon rockfish,06/01/2009,12.0,10-20,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,7.0,0-10,1,2.04,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,5.3,0-10,1,2.05,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,6.0,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,7.7,0-10,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,10.8,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,11.7,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,7.0,0-10,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,7.0,0-10,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,19.0,10-20,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,18.2,10-20,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,19.5,10-20,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,19.0,10-20,1,1.85,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,24.0,20-30,1,1.71,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,20.5,20-30,1,1.71,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/03/2009,20.2,20-30,1,1.71,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,7.0,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,7.0,0-10,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,6.8,0-10,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,6.7,0-10,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,11.7,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,13.0,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/05/2009,12.5,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,12.5,10-20,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,18.0,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,17.8,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,17.8,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,18.3,10-20,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,20.0,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/05/2009,21.2,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,7.0,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,8.0,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,8.7,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,8.0,0-10,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/07/2009,10.3,10-20,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/07/2009,10.3,10-20,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/07/2009,10.5,10-20,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,10.7,10-20,1,2.05,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,17.0,10-20,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,18.0,10-20,0,1.90,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,16.5,10-20,1,1.84,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,16.0,10-20,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,20.0,10-20,0,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,20.2,20-30,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/07/2009,20.0,10-20,0,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,5.2,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,7.5,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,6.0,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,6.5,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/09/2009,12.0,10-20,1,2.00,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,11.8,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/09/2009,11.7,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,06/09/2009,11.0,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.0,20-30,0,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,24.8,20-30,0,1.98,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.0,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.0,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.0,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.2,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.0,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/09/2009,25.2,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,9.2,0-10,1,1.90,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,11.5,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,12.6,10-20,1,1.90,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,9.2,0-10,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,17.4,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,19.0,10-20,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
copper rockfish,09/01/2009,18.0,10-20,1,1.91,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
black rockfish,09/01/2009,17.0,10-20,1,1.90,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
quillback rockfish,09/01/2009,26.8,20-30,1,1.99,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
yelloweye rockfish,09/01/2009,28.0,20-30,1,1.97,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
quillback rockfish,09/01/2009,27.9,20-30,1,1.97,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
quillback rockfish,09/01/2009,30.0,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
copper rockfish,09/01/2009,23.5,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
black rockfish,09/01/2009,25.9,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/01/2009,26.9,20-30,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
yelloweye rockfish,09/01/2009,27.0,20-30,1,1.98,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
black rockfish,09/15/2009,11.1,10-20,1,2.86,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,11.0,10-20,1,2.86,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,12.7,10-20,1,2.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,10.4,10-20,1,2.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,19.0,10-20,1,2.89,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,14.9,10-20,0,2.89,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,18.8,10-20,1,2.88,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
quillback rockfish,09/15/2009,18.0,10-20,1,2.90,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
canary rockfish,09/15/2009,30.4,30-40,1,2.95,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
blue blue blue deacon rockfish,09/15/2009,29.0,20-30,0,2.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,30.9,30-40,1,2.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,09/15/2009,31.5,30-40,1,2.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,09/15/2009,17.8,10-20,1,2.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
copper rockfish,09/15/2009,23.4,10-20,1,2.91,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
yelloweye rockfish,09/15/2009,23.9,20-30,1,2.91,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
quillback rockfish,09/15/2009,27.1,20-30,1,2.90,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
black rockfish,10/05/2009,10.1,10-20,1,1.77,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,10/05/2009,10.4,10-20,1,1.76,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,10/05/2009,9.3,0-10,1,1.76,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
china rockfish,10/05/2009,10.1,10-20,1,1.74,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
canary rockfish,10/05/2009,18.5,10-20,1,1.93,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
yelloweye rockfish,10/05/2009,19.2,10-20,1,1.92,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
quillback rockfish,10/05/2009,19.7,10-20,1,1.90,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
canary rockfish,10/05/2009,19.6,10-20,1,1.90,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,10/05/2009,30.7,30-40,1,2.21,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
quillback rockfish,10/05/2009,29.9,20-30,1,2.21,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
yelloweye rockfish,10/05/2009,27.6,20-30,1,2.21,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
canary rockfish,10/05/2009,28.9,20-30,1,2.20,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
canary rockfish,10/05/2009,24.8,20-30,1,2.06,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
yelloweye rockfish,10/05/2009,25.5,20-30,1,2.06,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
yelloweye rockfish,10/05/2009,26.9,20-30,1,2.06,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
quillback rockfish,10/05/2009,24.7,20-30,1,2.05,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
blue blue blue deacon rockfish,10/07/2009,11.9,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,10/07/2009,13.9,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/07/2009,9.8,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/07/2009,10.9,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/07/2009,16.4,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/07/2009,16.8,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,10/07/2009,18.1,10-20,1,1.95,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
blue blue blue deacon rockfish,10/07/2009,16.5,10-20,0,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,10/07/2009,29.9,20-30,1,1.87,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
quillback rockfish,10/07/2009,26.8,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
canary rockfish,10/07/2009,29.7,20-30,1,1.86,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
canary rockfish,10/07/2009,29.1,20-30,1,1.86,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
blue blue blue deacon rockfish,10/07/2009,21.1,20-30,1,2.03,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
yelloweye rockfish,10/07/2009,19.2,10-20,1,2.02,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
china rockfish,10/07/2009,21.1,20-30,1,2.00,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
black rockfish,10/07/2009,20.4,20-30,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,10/09/2009,12.4,10-20,1,1.99,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
blue blue blue deacon rockfish,10/09/2009,12.9,10-20,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/09/2009,12.7,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/09/2009,15.8,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,10/09/2009,16.1,10-20,1,1.93,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,10/09/2009,19.8,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,10/09/2009,20.1,20-30,0,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,10/09/2009,16.2,10-20,0,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,10/09/2009,15.0,10-20,1,1.89,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,10/09/2009,23.0,20-30,1,1.88,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,10/09/2009,20.6,20-30,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
copper rockfish,10/09/2009,20.9,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
canary rockfish,10/09/2009,29.2,20-30,1,1.85,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,10/09/2009,23.4,20-30,1,1.85,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,10/09/2009,27.8,20-30,1,1.84,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
yelloweye rockfish,10/09/2009,25.8,20-30,1,1.83,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
blue blue blue deacon rockfish,11/02/2009,12.2,10-20,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,11/02/2009,11.3,10-20,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue blue deacon rockfish,11/02/2009,11.5,10-20,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue deacon rockfish,11/02/2009,14.5,10-20,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,11/02/2009,16.5,10-20,1,1.94,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
blue blue deacon rockfish,11/02/2009,16.2,10-20,1,1.90,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,11/02/2009,17.0,10-20,1,1.89,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
quillback rockfish,11/02/2009,16.6,10-20,1,1.89,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
black rockfish,11/02/2009,23.5,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,11/02/2009,23.3,20-30,1,1.87,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,11/02/2009,23.5,20-30,1,1.86,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue deacon rockfish,11/02/2009,23.6,20-30,1,1.84,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
copper rockfish,11/02/2009,28.7,20-30,1,1.86,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
yelloweye rockfish,11/02/2009,28.2,20-30,1,1.84,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
yelloweye rockfish,11/02/2009,28.7,20-30,1,1.83,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
canary rockfish,11/02/2009,29.6,20-30,1,1.83,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,06/22/2010,13.5,10-20,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,12.9,10-20,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,12.6,10-20,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,12.2,10-20,1,1.81,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,17.4,10-20,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue deacon rockfish,06/22/2010,19.0,10-20,1,1.81,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,18.2,10-20,0,1.81,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,18.7,10-20,1,1.80,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
quillback rockfish,06/22/2010,24.4,20-30,1,1.92,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
quillback rockfish,06/22/2010,24.8,20-30,1,1.91,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
yelloweye rockfish,06/22/2010,24.8,20-30,1,1.90,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
quillback rockfish,06/22/2010,24.7,20-30,1,1.90,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
blue blue deacon rockfish,06/22/2010,29.2,20-30,0,1.89,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/22/2010,27.1,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue deacon rockfish,06/22/2010,25.2,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue deacon rockfish,06/22/2010,27.3,20-30,0,1.85,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,14.1,10-20,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,13.7,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,13.9,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,13.1,10-20,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,15.0,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,15.3,10-20,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,06/29/2010,16.5,10-20,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
blue blue deacon rockfish,06/29/2010,18.4,10-20,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
copper rockfish,06/29/2010,22.0,20-30,1,2.01,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
blue blue deacon rockfish,06/29/2010,22.2,20-30,1,2.01,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
yelloweye rockfish,06/29/2010,22.4,20-30,1,2.00,NA,Cage Study - Hannah,Deep Demersal,,,,,,,
blue blue deacon rockfish,06/29/2010,21.3,20-30,0,2.00,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,06/29/2010,26.2,20-30,1,2.04,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
canary rockfish,06/29/2010,25.2,20-30,1,2.04,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
canary rockfish,06/29/2010,27.3,20-30,1,2.03,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,06/29/2010,28.9,20-30,1,2.03,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
